place_id,name,address,neighborhood,zone,latitude,longitude,rating,review_count,price_level,category_raw,cafe_type,has_website,website_url,google_maps_url,image_url,sentiment_score,sentiment_positive_pct,sentiment_negative_pct,reviews_analyzed,density_500m,density_1km,density_2km,competitive_score,opportunity_score,extracted_at
ChIJZ3mAREiRyzsRIxCCJu8JwzU,Conçu Jubilee Hills,"Plot No 738, Rd Number 37, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",Jubilee Hills,Central,17.43668,78.399566,4.5,8287,,Cafe,cafe,True,http://www.concu.in/,https://www.google.com/maps/search/?api=1&query=Con%C3%A7u%20Jubilee%20Hills&query_place_id=ChIJZ3mAREiRyzsRIxCCJu8JwzU,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlUk42BjnfX03zs8-RNKVRCt6KTNN7TgGyXT3RdEExJ8sAbJIP_zzvwgtJZ2VnCKNOea90TRzaltPpZoN02mm63_Z6qk-8XcoYgsb503jSGhOtLrS0GjxjNYOJq-9NpIxeP93Q8Ig=w408-h306-k-no,0.833,100.0,0.0,3,0,2,2,64.7,40.0,2026-08-17T10:37:18.208478+00:00
ChIJrSH3epuZyzsRxyh_WfiX93Y,Café Irani Chai,"Street Number 4, opp. bawarchi restaurant, RTC Cross Road, Zamistanpur, Hyderabad, Telangana 500020, India",Himayatnagar,Central,17.406476,78.498117,4.3,87,,Cafe,irani_cafe,False,,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Irani%20Chai&query_place_id=ChIJrSH3epuZyzsRxyh_WfiX93Y,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk8HEGVhWL9wbjxYikI9bhoyNAWdF_4g1bzYm3GhDBa4edleg9SYk3j9F4ilU7D3JIS5ZbaYeJJcNTgBpLTTHaphlzRkDvVtGhv2BdFCDRRqjnABZYbDnRyXyVJg1JMsaIyckVX=w408-h306-k-no,1.0,100.0,0.0,3,0,0,0,47.7,60.1,2026-08-17T10:37:18.208478+00:00
ChIJzfDULDqfyzsRmfJhgumfRUk,Irani Cafe,"piller no- 116, Kamalanagar, Medipally, Peerzadiguda, Hyderabad, Telangana 500098, India",Uppal,East,17.410462,78.604963,4.4,71,,Cafe,irani_cafe,False,,https://www.google.com/maps/search/?api=1&query=Irani%20Cafe&query_place_id=ChIJzfDULDqfyzsRmfJhgumfRUk,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnJdI7lr9U4ivPFX-SjAmKF3RaLrgFeu3bg42A_k0BIHNeiaOI7MVEpSN3UqGcmR7AxCMO2sB4mXLcYaeXdONBJgR-J0rZr9CaDwoDLMk999lUvS8UZqq3rIPawA5jLwD_8dIe0=w408-h725-k-no,1.0,100.0,0.0,3,0,0,0,53.7,60.0,2026-08-17T10:37:18.208478+00:00
ChIJeUbaGACRyzsR7XVdKeJI1wc,Kissa coffee house,"House number 347, Road No. 22, Jubilee Hills, Hyderabad, Telangana 500033, India",Jubilee Hills,Central,17.433624,78.407617,4.6,249,,Coffee shop,cafe,True,https://www.kissacoffeehouse.in/,https://www.google.com/maps/search/?api=1&query=Kissa%20coffee%20house&query_place_id=ChIJeUbaGACRyzsR7XVdKeJI1wc,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm25FLtF9YXd4SXpJuKC-Rw---8-vHihazVCX1Dp5cgoMh_TWCcs9ZPBYHyXhxwzchm0AvGUKTyEjFG2tN922VztwZedUhh95JIVwb1bOsij3Lrt3BzOA8EuD4PUfLbjycoXek2ITvJF4uB=w408-h272-k-no,0.333,66.7,33.3,3,1,2,2,31.2,0.9,2026-08-17T10:37:18.208478+00:00
ChIJkWYn7zOZyzsR5GaC-mQh6AE,Irani cafe,"90b/5, 2-3-504/A/B, 2-2, Amberpet, near Irani Hotel, Turab Nagar, Amberpet, Hyderabad, Telangana 500013, India",Himayatnagar,Central,17.393575,78.522243,4.2,159,,Cafe,irani_cafe,False,,https://www.google.com/maps/search/?api=1&query=Irani%20cafe&query_place_id=ChIJkWYn7zOZyzsR5GaC-mQh6AE,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk-Y6MDUzfAoBYSTBYfgUHWzBOT6HTObRZeTQi47-gFTI1nMGayrINfhujSkm_FuzwZaS6hYxgkGMhQrmSL22O5QOKWI0ubacf4nEuIPe2C6i6uBZjx8zk_tt0HmhgWBk0iE9tt-Q=w408-h305-k-no,0.667,66.7,0.0,3,0,0,0,31.9,60.4,2026-08-17T10:37:18.208478+00:00
ChIJbRCWCVWRyzsRuWqKlsYB5A8,Sky Salt Cafe & Bistro,"Road No. 36, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",Jubilee Hills,Central,17.433536,78.405057,4.7,1631,,Cafe,cafe,False,,https://www.google.com/maps/search/?api=1&query=Sky%20Salt%20Cafe%20%26%20Bistro&query_place_id=ChIJbRCWCVWRyzsRuWqKlsYB5A8,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlmMkgLMonVLiGRPbewt2hMRW6pD3nuSrmMR6Si_PvB12orEiHiKq7kZ82W56xWAF7tvZ6asFrrrdcuwG65xl4Fk8q7t2y8luYT1vfHF-eZSn4oJ5Y0Rjy-givB9cz1gmBtj3G8O92uJjyj=w408-h306-k-no,0.667,66.7,0.0,3,1,2,2,51.4,7.6,2026-08-17T10:37:18.208478+00:00
